id,user_id,action,details,created_at
1,1,"Создание категории ID: 1, название Наушники",,2025-04-06 10:18:30.489934+00
2,1,Создание товара ID: 1,,2025-04-06 10:19:01.991566+00
3,2,Вход пользователя ID: 2,,2025-04-06 10:29:13.309029+00
4,2,Добавление в избранное. Пользователь ID: 2. Товар ID: 1,,2025-04-06 10:29:15.925222+00
5,2,Добавление товара в корзину ID: 1,,2025-04-06 10:29:16.999943+00
6,2,Создание заказа ID: 1 с позициами 1,,2025-04-06 10:29:29.236575+00
7,1,Вход пользователя ID: 1,,2025-04-06 10:29:37.09169+00
